"PSIZE","S","Births","I","NI","L","R","new_I","new_NI","new_I_react","new_NI_react","Sv","Lv","Rv","TBItot","TBI0-14","TBI15-54","TBI55-64","TBI65+","TBI55+","TBI<55","TBNtot","TBN0-14","TBN15-54","TBN55-64","TBN65+","TBN55+","TBN<55","TBMtot","TBM0-14","TBM15-54","TBM55-64","TBM65+","TBM15-59","TBM60+","TBM55+","TBM<55","TBPtot","TBP0-14","TBP15-29","TBP30-44","TBP45-59","TBP60+","TBP55+","TBPbtot","TBPb0-14","TBPb15-29","TBPb30-44","TBPb45-59","TBPb60+","TBPb55+","TBPItot","TBPI0-14","TBPI15-54","TBPI55-64","TBPI65+","TBPI55+","TBPI5-9","TBPI10-19","TBPI20-29","TBPI30-39","TBPI40-49","TBPI50-59","TBPI60-69","TBPI70+","YearPsizetot","YearPsize0-14","YearPsize15-54","YearPsize55-64","YearPsize65+","YearPsize15-59","YearPsize15-29","YearPsize30-44","YearPsize45-59","YearPsize60+","YearPsize55+","YearPsize5-9","YearPsize10-19","YearPsize20-29","YearPsize30-39","YearPsize40-49","YearPsize50-59","YearPsize60-69","YearPsize70+","YearPsize55-74","YearPsize75+","YearPsize15-24","YearPsize25-54","TBI15-24","TBI25-54","TBM15-24","TBM25-54","TBPb15+","YearPsize15plus","TBRatot","TBRa0-14","TBRa15-54","TBRa55-64","TBRa65+","TBRitot","TBRi0-14","TBRi15-54","TBRi55-64","TBRi65+","TBPb30-59","Iv","NIv"
1267142,114042.78,4400.97511467781,25342.84,25342.84,1013713.6,88699.94,0,0,0,0,0,0,0,221.51493752364,52.6003226665319,310.465196846395,353.515006166866,282.120192701715,325.132079241895,208.496242369727,133.466413233645,32.5900795943229,197.141137397854,173.117267003253,101.299942592115,144.566371332054,132.07178905942,66.37495694759,157.262990499211,15.3981186617938,15.4688697867505,40.9823839151853,15.4019160951438,30.78712089197,25.6117383224328,71.4965411562744,3809.23875002778,3718.18968703071,3840.28106622436,3840.22270818295,3865.49356602807,3955.33648136257,3946.81021153737,1906.17288495254,1838.31686286808,1932.46425802686,1932.46595766082,1947.60495183591,1996.96291775844,1993.32144208689,80.1232471281234,80.2216402071245,80.0773470282993,80.0621145176342,79.9897321130601,80.0334947630984,80.2428213197997,80.1699619393836,80.0772954284398,80.0774092547417,80.0775906471654,80.070408052611,80.0313176829623,79.989625468173,1261851.52305409,443285.610009324,677720.176874104,84852.6738822248,55993.0622884399,725266.126039748,314958.245277657,242531.361458064,167776.519304027,93299.78700502,140845.736170665,132292.975100068,241106.300969149,196548.552661424,169655.858963652,139086.099872846,101565.921925594,65198.331897961,28101.455107059,129092.099084819,11753.6370858462,223539.979239231,454180.197634873,309.6439824895,310.869384966545,15.3825557658036,15.4057784617249,1942.91958752488,818565.913044768,15.5054500172212,53.505401159529,8.91202490498584,19.5658977651744,39.5273993444652,84.4945499827788,46.494598840471,91.0879750950142,80.4341022348256,60.4726006555348,1938.65635240474,0,0
1256561.04610818,109186.913950314,4277.87580747023,22763.3031616354,22684.891206349,1008346.18769144,93579.7500984472,2082.83496079389,869.538307915492,245.107320975747,188.29940734435,0,0,0,402.955028913717,97.144193901838,555.847847890033,653.531505938197,557.118512618721,614.340168938562,375.857797289446,241.138469394186,57.7743316347138,352.19868358561,324.773600408225,204.781179359557,275.997359272992,236.669946142741,103.661318960482,239.92733992961,27.1814005698191,29.2478313041198,77.9895538677977,27.3214544138917,58.6582319106944,49.0610661095775,110.660466100489,3064.07201477227,2583.77435376336,3221.46940695716,3254.79268328067,3345.77500338849,3764.02110833219,3705.61836671786,1541.16764243721,1213.11119210438,1654.83858476492,1680.74414004602,1736.04843990219,1971.37212291056,1941.76343960566,78.8837660505842,76.1550541393697,80.3768975195638,80.28398714934,79.9739851172674,80.158098965852,81.0300598307165,80.829146478355,80.3536920633937,80.3549432261931,80.3557173048189,80.3257276459144,80.1617009971852,79.9441531706923,1267616.00635923,440881.8148714,682703.065424192,85483.2871712978,58547.8388923395,729865.087306562,318450.512808543,242562.869662623,168851.704835396,96869.1041812673,144031.126063637,136744.279175204,240406.859713055,199716.104846561,169520.899301858,139439.747003391,102453.92819277,66691.2919063783,30177.812274889,131518.610835831,12512.5152278063,225930.252553431,456772.812870761,525.998117992947,570.612205190362,26.9818794711296,27.2800882564467,1716.11398515798,826734.191487829,17.6908398607474,57.5766717809912,10.6929706512901,21.3135776282712,40.5273138628779,82.3091601392526,42.4233282190088,89.3070293487099,78.6864223717288,59.4726861371221,1703.44198765347,0,0
1272817.82531583,131514.254965513,26672,20504.9358950651,20333.705510136,1002691.75319776,97773.1757473516,1934.26647257078,816.643836753202,250.524107463749,193.444789046809,0,0,0,360.49822930431,90.3286551557815,489.347569238638,590.909732261126,527.843734919318,564.698455875839,333.830464708201,213.601053644786,51.0977618222883,309.218363877881,293.218368339919,193.493578227954,251.771088565329,208.616193818836,74.0992174081161,162.706520883358,23.1663121045848,27.2462478321004,76.3657962924874,23.4112041571295,57.2457269747855,47.6611483312985,77.5519275953367,2494.11558010338,1802.17311530367,2687.5921282695,2768.79134982884,2889.24985550075,3567.59276932665,3455.77687519146,1265.5043493859,798.305913141524,1402.08885919107,1464.4587193598,1538.72132335533,1927.83491174712,1867.679431482,77.6104274357662,71.9871355316853,80.6358902334782,80.4563998584766,79.9697425263631,80.2542438327589,81.565735818323,81.3936999040817,80.572896300794,80.5776188005675,80.5787944344691,80.5324336300445,80.2760138382885,79.8914568038238,1273792.00199162,439112.391349149,687542.776810641,85984.3208997037,61152.5129321206,734199.805950609,321927.528264349,242495.142998669,169777.134687591,100479.804691857,147136.833831824,143060.869449052,239758.661440258,203261.360714102,169207.416161794,139634.646289169,103430.215235297,68038.0324478694,32441.7722439871,133651.551902051,13485.281929773,227838.980889374,459703.795921268,451.818040239836,507.948002204847,22.6208573779538,23.4366510709791,1511.29042102115,834679.610642466,20.6109669083537,61.0016287144898,13.0349968724829,24.5425567470613,43.755528602917,79.3890330916463,38.9983712855102,86.9650031275171,75.4574432529387,56.244471397083,1495.04067406109,0,0
1262414.18740263,127010.13829217,26071.2793569954,18567.2395456614,18275.4536603915,997183.662145221,101377.693759186,1841.69976295046,782.108879383589,264.382393420844,195.283090014059,0,0,0,324.625319422862,83.48124659509,434.056840317594,538.519548170332,503.501815646415,523.650675833453,298.143108309886,190.559737070858,45.4042518552646,273.531289607905,266.796782538826,184.075058589881,231.67232803443,185.089316954877,53.8911977887553,110.572697251003,19.7278601557726,25.0705972320501,74.2542429582078,20.0159814854038,55.6304188197897,45.9544551136264,54.9472566692053,2054.22054207682,1264.17761819356,2235.67406248054,2364.89988348209,2491.88510206418,3372.84383351406,3208.59523556146,1054.42183181662,524.207622790497,1180.21413519893,1278.93030952619,1358.39140055082,1872.61494546193,1780.76611499853,76.3072538600888,67.7316596467023,80.8626427570871,80.5937094389072,79.9719132790485,80.3297828582991,81.9190820296051,81.891280648206,80.7469198677277,80.75802549256,80.7594676874297,80.7033361080865,80.3766743890729,79.8328048363626,1280195.50300049,438031.403063937,691825.874267925,86503.1420208491,63835.0836477782,738267.630190009,324917.286404003,242570.565395545,170779.778390461,103896.469746543,150338.225668627,151386.638118571,239658.91608414,206677.597083622,168918.044924483,139933.644497828,104498.654363694,69177.713920599,34718.7558259443,135664.752922065,14673.472746562,229048.736181484,462777.13808644,392.063258325873,454.84130889076,18.7691077757324,20.2023888281855,1330.20000132259,842164.099936552,23.5602097682749,63.7363739255961,15.503401287441,27.8723103501833,46.8755946321488,76.4397902317251,36.2636260744039,84.496598712559,72.1276896498167,53.1244053678512,1311.76044434973,0,0
1278960.31868708,149729.063009397,26796,16858.3697995172,16450.9434540232,991450.518129823,104471.424294324,1719.70634029909,738.012923378316,268.135047461914,198.650987648952,0,0,0,294.195946488592,76.8431387859937,387.808888638176,494.384302185884,483.054425636088,489.476474141492,267.700927374217,171.174330892443,40.5246580546901,243.732324063896,244.497971691803,176.11465340823,214.875974861948,165.245035707623,40.0126602625649,75.4539485996107,16.8110297453118,22.8562910747192,71.8424105542928,17.1057229587711,53.9399038530345,44.0758912981758,39.4613744521026,1711.67777475441,893.956104294318,1858.22823084547,2028.8046324925,2149.22205367063,3184.68918325444,2970.99620604607,890.604473071692,343.790386150505,990.019925994151,1119.95773265748,1196.52824865715,1810.5873109803,1687.66221788172,74.981122745959,63.4160562578829,81.0632235280278,80.7058942643608,79.9770880595135,80.3902784566038,82.1416817940416,82.3400280999123,80.8848565474073,80.9053125466692,80.9069266437415,80.84686110135,80.464751376444,79.7691228961599,1286712.88132017,437608.921420608,695383.304569318,87132.5914695098,66588.0638607392,742112.3799265,327188.736099149,242943.624287651,171980.0195397,106991.579973067,153720.655330249,161878.45946468,240555.888235015,209642.229583865,168798.036931388,140480.177923578,105645.428972385,70086.2527340625,36905.3272390041,137671.496044438,16049.1592858113,229506.059694219,465877.244875099,343.491844685243,409.640884613124,15.4574639130077,17.4778396488351,1172.42005054642,849103.959899567,26.5259913173142,65.8578466373413,18.0791491513339,31.2675511067623,49.8749667649301,73.4740086826858,34.1421533626587,81.9208508486661,68.7324488932377,50.1250332350699,1151.69513551145,0,0
1268623.68529615,145548.848955472,26296.1852914914,15381.41657515,14848.9597308768,985730.973366232,107113.486668414,1642.66301636714,706.987063085292,280.815041077114,198.854032094891,0,0,0,268.331558936669,70.4980162423016,348.930356353117,457.071240190102,465.775276583186,460.911004934418,241.681894580434,154.815536447225,36.2934528428383,218.729555574165,225.574791835096,169.324907492598,200.760290491586,148.457577175568,30.4108577371979,51.8335219908105,14.3500369727783,20.7057810029513,69.2860935387255,14.633378528278,52.219323492299,42.1368691692311,28.7881805751465,1442.63511688347,638.830469915184,1545.67507580789,1748.7191571011,1855.98061160675,3006.19577281396,2747.88628383122,761.852309858771,225.410533040995,829.342150692735,983.836832311457,1053.25626421591,1745.31673690549,1593.41665266647,73.6385632482665,59.0577175228183,81.2428114390545,80.7996595854011,79.98251237882,80.4392561866539,82.3068600513695,82.7240565987941,80.9936070564993,81.0262946288115,81.0280136821071,80.9689861390577,80.5417089702578,79.701121079593,1293269.00441957,437594.621146515,698463.578401141,87857.6359843995,69353.1688875151,745900.845647837,328975.382063734,243599.776923829,173325.686660274,109773.537625219,157210.804871915,179455.557803653,242707.094204328,212255.617990462,168820.997822102,141236.359033098,106868.106728904,70792.7006727513,38980.8369524677,139666.532120086,17544.2727518281,229412.541186223,469051.037214918,303.662806468437,371.070684011234,12.6563170539069,15.178434225566,1036.19035325773,855674.383273056,29.4847778627194,67.4334091680659,20.7400453986405,34.6958104942057,52.7416013320192,70.5152221372806,32.5665908319341,79.2599546013595,65.3041895057943,47.2583986679808,1012.69611713175,0,0
1285363.58387029,168649.871427699,26928,14069.5131968363,13425.8899995336,979847.042712203,109371.26653402,1541.68722589967,670.116586384507,283.188733755754,200.946108832985,0,0,0,246.160309516065,64.4681695059474,315.886760076514,425.000160734588,451.027757477778,436.678916948566,219.259909924681,140.89144379544,32.5732472028631,197.530533320003,209.298913882251,163.518223216251,188.756812708978,134.133061673529,23.7025755508549,35.9345824862652,12.2841673567922,18.6748996637133,66.6393856977877,12.5527716520139,50.4786533114679,40.1968843804647,21.3736508096986,1229.53758514254,462.431715317384,1288.38377375619,1514.87088511053,1612.58414829527,2829.64233165705,2541.47296589085,659.463035531749,147.930545142605,694.913246136739,867.283968044345,931.487837317786,1673.55176885622,1501.11965312988,72.2847557615385,54.662878611287,81.4056047120835,80.8799822167306,79.987113223026,80.4794213961054,72.0382574987726,82.9933116597521,81.1481894057862,81.1260845075857,81.1278581141899,81.0688501497146,80.6007655129788,79.6576967584456,1299806.08705581,437742.679641805,701243.506653104,88658.9389220362,72160.9618388637,749808.497008566,330479.203289802,244539.190199948,174790.103518815,112254.910405438,160819.9007609,174428.905829484,246428.858267492,214555.732106467,168933.903946236,142224.686998305,108170.702774223,71298.1284479869,40956.7819574508,141664.955453634,19154.9453072663,228945.128811841,472298.377841263,270.805285439995,337.739860789797,10.3187988916346,13.2368734373738,919.211449791088,862063.407414004,32.4287137388448,68.4989720074114,23.4771978112674,38.1400345689835,55.4652061519608,67.5712862611552,31.5010279925886,76.5228021887326,61.8599654310165,44.5347938480392,894.046231317418,0,0
1275027.42213068,164740.085579759,26500.9725990894,12927.8085503071,12172.8662560824,973909.152621618,111277.509122917,1477.02783524063,642.368315303374,294.9292534766,200.060228910732,0,0,0,227.127923096175,58.962151546099,287.577798237026,397.352755281418,438.442979953278,416.064137795832,199.924040325079,129.007476663141,29.3538322343416,179.41698085569,195.2291881468,158.494994449879,178.501424910879,121.881116223717,18.9581006701476,25.2066518497395,10.5526577280232,16.7952074347365,64.050371890546,10.8129910415183,48.6881026067393,38.3139376187483,16.1711605373455,1059.32822987305,339.815669929461,1077.36579535442,1319.10844022216,1409.80912126837,2660.45920948448,2353.24789317906,577.119758999038,97.314862685535,583.120007440083,767.377680740161,827.738453087799,1599.75650462148,1413.15497086594,70.9266454452612,50.2348228422234,81.5549164367959,80.9497270600455,79.9887108415812,80.512179021128,60.7601233798239,83.1723623884375,81.3336279727299,81.2084931238977,81.2102855235502,81.1504968826179,80.6468256155814,79.6293918564509,1306268.09542184,437801.027151026,704057.203783331,89542.036722234,74867.8277652499,753929.125648027,331892.29221648,245745.508878195,176291.324553351,114537.942622788,164409.864487484,167579.567885694,252240.70709684,216394.639738792,169328.113771431,143269.445515451,109439.274144665,71696.0009621304,42841.9416606571,143634.526948397,20775.3375390874,228472.941493262,475584.262290069,243.296413009996,308.850786303324,8.38609332371506,11.5934855720804,818.993151914658,868467.068270815,35.328063724329,68.7947169676835,26.2790715455925,41.580151307951,58.0488124714666,64.671936275671,31.2052830323165,73.7209284544075,58.419848692049,41.9511875285334,792.591310606793,0,0
1291902.59749893,188185.975549204,27064,11906.6794826096,11057.3547272819,967860.366073544,112892.221666288,1392.90303761418,611.436176462476,296.149684336806,201.226567905499,0,0,0,210.896847791908,53.8215966285398,263.486496706438,373.799781154859,427.853408338969,398.703658023417,183.36670944877,118.935123834906,26.4873846636469,164.034759276555,183.200401885838,154.196977194565,169.837788590383,111.473427419184,15.5535283576325,17.9424826707649,9.10243618452145,15.0963467914277,61.5902438934479,9.35840496792891,46.8248956906568,36.5172642929358,12.4805058736424,922.390249888277,253.937151197195,904.681672012496,1154.97370631421,1240.01060624015,2500.98210958764,2184.117803637,510.286203865198,64.2859972847058,490.475508651223,681.759502867353,738.960353925201,1526.40842678487,1331.34231372266,69.5759531200981,45.7776414418778,81.6936721587125,81.0106253499192,79.9853917682977,80.5383454200578,47.9484949583158,83.280727609749,81.5389375919316,81.2767006805104,81.2784866669039,81.2176092514985,80.6845270845561,79.6107809936253,1312634.52978165,437472.40372463,707346.010717483,90498.9751087716,77317.1402307701,758347.455487696,333465.770592131,247172.366436456,177709.318459109,116814.670569329,167816.115339542,158460.29733029,260760.84875668,217564.955512474,170266.9477401,144097.931689671,110516.805465794,72119.5478327957,44695.1227365333,145506.117580284,22309.9977592579,228486.008942299,478860.001775185,220.303870936701,284.09090254781,6.8028696820731,10.1996645403959,733.230932190582,875162.126057025,38.1247621643581,68.3972798974894,29.0973329544365,44.9498644977928,60.4592502145846,61.8752378356419,31.6027201025106,70.9026670455635,55.0501355022072,39.5407497854154,705.684102628036,0,0
1281523.16514142,184492.988615123,26690.5417495838,11012.3654706447,10072.3571483829,961716.553982715,114228.899924556,1338.50239459123,586.691050719892,307.138098078507,199.615681900672,0,0,0,197.022770610807,48.7387737845857,243.040276617937,353.784015499515,418.96655883034,384.072531482419,169.168853183522,110.398585776022,23.7770996886496,151.003327097741,172.958553647894,150.55002419864,162.545932910892,102.633230212999,13.0658166342559,12.9850711024988,7.88920054758096,13.5925451083647,59.2717795424927,8.14071079782016,44.9015670117976,34.8184155875642,9.82659787101892,811.430181099958,192.898398626734,763.698136021064,1017.17786782402,1097.16182533389,2352.18751230446,2033.63396036916,455.617083452553,42.711350983048,413.94007539589,608.415971259801,662.703608223423,1454.99085955686,1256.46619900732,68.2309749233222,41.2414551816879,81.8244594839382,81.0639916941154,79.9765760734178,80.5587700699289,32.5736261600816,83.3363483229318,81.7571367992472,81.3332529507569,81.3350137974492,81.2731466290384,80.7173020191614,79.5981889004389,1318893.8473823,436438.90605002,711511.565159601,91510.7410406107,79432.6351320714,763267.715441998,335502.010373486,248790.624633105,178975.080435407,119187.225890285,170943.376172682,146593.814292099,272507.374835398,218016.159332813,171878.348834214,144561.73200865,111325.624225648,72650.6935848426,46536.5323054421,147235.347258465,23708.0289142166,229423.892418834,482087.672740767,201.19830627151,262.952728742621,5.52154876637712,9.01595801982245,659.829352816362,882454.941332283,40.7813872601426,67.5426985709979,31.8867534630122,48.1959574652788,62.6810682040503,59.2186127398574,32.4573014290021,68.1132465369878,51.8040425347212,37.3189317959497,631.129653252275,0,0
